Length: 217, Average Loss: 0.8499, Std: 0.2193, Max Loss: 25.8608, Max Std: 14.1195, Samples: 5383
Length: 218, Average Loss: 0.7968, Std: 0.1741, Max Loss: 22.6638, Max Std: 10.0786, Samples: 4180
Length: 219, Average Loss: 0.8931, Std: 0.2766, Max Loss: 27.0288, Max Std: 15.2149, Samples: 4284
Length: 220, Average Loss: 0.8590, Std: 0.2558, Max Loss: 25.0252, Max Std: 13.7635, Samples: 13161
Length: 221, Average Loss: 0.8102, Std: 0.1997, Max Loss: 23.0681, Max Std: 10.7893, Samples: 5948
Length: 222, Average Loss: 0.8183, Std: 0.1841, Max Loss: 24.1970, Max Std: 11.9225, Samples: 5219
Length: 223, Average Loss: 0.8341, Std: 0.1856, Max Loss: 24.8409, Max Std: 12.8701, Samples: 4144
Length: 224, Average Loss: 0.8973, Std: 0.2401, Max Loss: 26.4505, Max Std: 13.9809, Samples: 5118
Length: 225, Average Loss: 0.8539, Std: 0.2404, Max Loss: 24.4341, Max Std: 12.3406, Samples: 5320
Length: 226, Average Loss: 0.8720, Std: 0.2219, Max Loss: 26.0519, Max Std: 13.6023, Samples: 5353
Length: 227, Average Loss: 0.8835, Std: 0.2663, Max Loss: 27.0293, Max Std: 15.3908, Samples: 4545
Length: 228, Average Loss: 0.8706, Std: 0.2114, Max Loss: 26.6735, Max Std: 13.8303, Samples: 5452
Length: 229, Average Loss: 0.9046, Std: 0.2816, Max Loss: 27.9085, Max Std: 16.4732, Samples: 5253
Length: 230, Average Loss: 0.8718, Std: 0.1947, Max Loss: 26.9691, Max Std: 15.7832, Samples: 5718
Length: 231, Average Loss: 0.8635, Std: 0.2221, Max Loss: 26.3175, Max Std: 15.6599, Samples: 5384
Length: 232, Average Loss: 0.8873, Std: 0.2224, Max Loss: 28.1605, Max Std: 16.0944, Samples: 3848
Length: 233, Average Loss: 0.8770, Std: 0.2298, Max Loss: 26.4136, Max Std: 13.9884, Samples: 5518
Length: 234, Average Loss: 0.8491, Std: 0.1973, Max Loss: 24.9216, Max Std: 12.3772, Samples: 5418
Length: 235, Average Loss: 0.8624, Std: 0.2374, Max Loss: 25.7908, Max Std: 13.1053, Samples: 4718
Length: 236, Average Loss: 0.8955, Std: 0.2302, Max Loss: 26.6233, Max Std: 12.9050, Samples: 4948
Length: 237, Average Loss: 0.8987, Std: 0.2092, Max Loss: 27.3208, Max Std: 13.0080, Samples: 5553
Length: 238, Average Loss: 0.8804, Std: 0.2680, Max Loss: 26.4358, Max Std: 13.3093, Samples: 6251
Length: 239, Average Loss: 0.8996, Std: 0.2933, Max Loss: 27.2522, Max Std: 14.2220, Samples: 6251
Length: 240, Average Loss: 0.9500, Std: 0.2797, Max Loss: 29.5953, Max Std: 16.7076, Samples: 15502
Length: 241, Average Loss: 0.8619, Std: 0.1894, Max Loss: 25.1154, Max Std: 10.6703, Samples: 4180
Length: 242, Average Loss: 0.8990, Std: 0.1949, Max Loss: 26.6312, Max Std: 12.1051, Samples: 6350
Length: 243, Average Loss: 0.9632, Std: 0.3254, Max Loss: 29.6204, Max Std: 16.7662, Samples: 4115
Length: 244, Average Loss: 0.9546, Std: 0.2721, Max Loss: 32.0479, Max Std: 19.0524, Samples: 6052
Length: 245, Average Loss: 0.9073, Std: 0.2035, Max Loss: 28.3591, Max Std: 14.5739, Samples: 5583
Length: 246, Average Loss: 0.9248, Std: 0.2189, Max Loss: 28.3793, Max Std: 13.8811, Samples: 5718
Length: 247, Average Loss: 0.9633, Std: 0.2450, Max Loss: 31.1600, Max Std: 16.7711, Samples: 6051
Length: 248, Average Loss: 0.9510, Std: 0.2450, Max Loss: 30.1891, Max Std: 16.5437, Samples: 5184
Length: 249, Average Loss: 0.9626, Std: 0.3004, Max Loss: 31.0173, Max Std: 19.1115, Samples: 5218
Length: 250, Average Loss: 0.9381, Std: 0.2484, Max Loss: 29.6674, Max Std: 14.5388, Samples: 5544
